Kabupaten/Kota;P0;Air Minum Layak;Bayi Gizi Kurang;Pengguna PLN
Banjarnegara;16.23;82.61;4792;99.87
Banyumas;13.66;91.49;2985;100.00
Batang;9.68;98.38;2988;99.85
Blora;12.39;94.84;4217;99.84
Boyolali;10.62;93.42;2369;100.00
Brebes;17.43;92.60;;100.00
Cilacap;11.67;93.37;6195;99.75
Demak;12.92;96.71;4699;100.00
Grobogan;12.74;76.14;620;99.81
Jepara;7.44;81.48;5210;99.82
Karanganyar;10.68;98.65;2488;100.00
Kebumen;17.83;86.36;6264;99.67
Kendal;10.24;92.65;3197;99.83
Klaten;13.49;97.84;5246;100.00
Kudus;7.60;98.90;2035;100.00
Magelang;11.91;94.14;4170;100.00
Pati;10.21;99.72;4169;99.85
Pekalongan;10.57;96.20;2190;100.00
Pemalang;16.56;95.14;6589;100.00
Purbalingga;16.24;85.18;4643;100.00
Purworejo;12.40;85.99;2478;99.92
Rembang;15.80;95.36;2659;100.00
Semarang;7.82;98.25;2826;100.00
Sragen;13.83;98.33;2360;99.47
Sukoharjo;8.23;98.01;2057;99.70
Tegal;8.60;98.87;5694;100.00
Temanggung;10.17;91.87;2994;100.00
Wonogiri;11.55;98.82;2527;99.86
Wonosobo;17.67;95.64;2515;99.93
Kota Magelang;7.75;100.00;360;100.00
Kota Pekalongan;7.59;99.28;1478;100.00
Kota Salatiga;5.14;98.78;497;100.00
Kota Semarang;4.56;98.42;1238;99.84
Kota Surakarta;9.40;99.82;461;100.00
Kota Tegal;8.12;100.00;1183;100.00
