Kabupaten/Kota;P0 2020;P0 2021
Banjarnegara;15.64;16.23
Banyumas;13.26;13.66
Batang;9.13;9.68
Blora;11.96;12.39
Boyolali;10.18;10.62
Brebes;17.03;17.43
Cilacap;11.46;11.67
Demak;12.54;12.92
Grobogan;12.46;12.74
Jepara;7.17;7.44
Karanganyar;10.28;10.68
Kebumen;17.59;17.83
Kendal;9.99;10.24
Klaten;12.89;13.49
Kudus;7.31;7.6
Magelang;11.27;11.91
Pati;10.08;10.21
Pekalongan;10.19;10.57
Pemalang;16.02;16.56
Purbalingga;15.9;16.24
Purworejo;11.78;12.4
Rembang;15.6;15.8
Semarang;7.51;7.82
Sragen;13.38;13.83
Sukoharjo;7.68;8.23
Tegal;8.14;8.6
Temanggung;9.96;10.17
Wonogiri;10.86;11.55
Wonosobo;17.36;17.67
Kota Magelang;7.58;7.75
Kota Pekalongan;7.17;7.59
Kota Salatiga;4.94;5.14
Kota Semarang;4.34;4.56
Kota Surakarta;9.03;9.4
Kota Tegal;7.8;8.12
